Degree Name,Grad Year,ScriptNotes,Academic Unit,Unit URI,Final URI,Comment
Dairy Husbandry,1916,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1921,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1927,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1929,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1931,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1939,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1941,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1943,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1947,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1949,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1951,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1953,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1954,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,,,http://opaquenamespace.org/ns/osuAcademicUnits/NRY9rYym,
Dairy Husbandry,1956,NO URIS FOUND FOR THIS DEGREE AND YEAR,Dairy and Animal Husbandry,http://opaquenamespace.org/ns/osuAcademicUnits/TiG3H6VE,http://opaquenamespace.org/ns/osuAcademicUnits/TiG3H6VE,
Dairy Husbandry,1957,NO URIS FOUND FOR THIS DEGREE AND YEAR,Dairy and Animal Husbandry,http://opaquenamespace.org/ns/osuAcademicUnits/TiG3H6VE,http://opaquenamespace.org/ns/osuAcademicUnits/TiG3H6VE,
Dairy Husbandry,1959,NO URIS FOUND FOR THIS DEGREE AND YEAR,Dairy and Animal Husbandry,http://opaquenamespace.org/ns/osuAcademicUnits/TiG3H6VE,http://opaquenamespace.org/ns/osuAcademicUnits/TiG3H6VE,
Dairy Manufacturing,1917,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1929,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1932,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1933,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1934,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1936,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1939,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1940,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1942,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1948,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Manufacturing,1952,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Products Industries,1951,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Agriculture,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,http://opaquenamespace.org/ns/osuAcademicUnits/DxWi53KE,
Dairy Technology,1958,NO URIS FOUND FOR THIS DEGREE AND YEAR,Food and Dairy Technology,http://opaquenamespace.org/ns/osuAcademicUnits/Gi3Kg6CU,http://opaquenamespace.org/ns/osuAcademicUnits/Gi3Kg6CU,
Dairying,1957,http://opaquenamespace.org/ns/osuAcademicUnits/iw5q84Xr,,,http://opaquenamespace.org/ns/osuAcademicUnits/iw5q84Xr,
Design and Human Environment, ,MISSING GRADUATION YEAR,,,,
Design and Human Environment,2001,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Design and Human Environment,2004,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2005,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2006,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2007,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2008,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2009,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2011,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2012,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and the Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,http://opaquenamespace.org/ns/osuAcademicUnits/DyLqxkT4,
Design and Human Environment,2013,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,,,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Design and Human Environment,2014,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,,,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Design and Human Environment,2015,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,,,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Design and Human Environment,2016,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,,,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Design and Human Environment,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Design and the Human Environment,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,Design and Human Environment,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,http://opaquenamespace.org/ns/osuAcademicUnits/sKVl50X1,
Domestic Art,1911,NO URIS FOUND FOR THIS DEGREE AND YEAR,Domestic Science and Art,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,
Domestic Science,1909,NO URIS FOUND FOR THIS DEGREE AND YEAR,Domestic Science and Art,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,
Domestic Science,1910,NO URIS FOUND FOR THIS DEGREE AND YEAR,Domestic Science and Art,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,
Domestic Science,1911,NO URIS FOUND FOR THIS DEGREE AND YEAR,Domestic Science and Art,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,http://opaquenamespace.org/ns/osuAcademicUnits/IbUGKhoW,
Domestic Science,1915,http://opaquenamespace.org/ns/osuAcademicUnits/3zqOFU2E,,,http://opaquenamespace.org/ns/osuAcademicUnits/3zqOFU2E,
Domestic Science and Art,1910,http://opaquenamespace.org/ns/osuAcademicUnits/WCODBszK,,,http://opaquenamespace.org/ns/osuAcademicUnits/WCODBszK,
"Earth, Ocean and Atmospheric Sciences",2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
"Earth, Ocean, and Atmospheric Sciences",2013,NO URIS FOUND FOR THIS DEGREE AND YEAR,"College of Earth, Ocean, and Atmospheric Sciences",http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,http://opaquenamespace.org/ns/osuAcademicUnits/aCtPf2DZ,
Ecology,2001,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Economics,1910,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Economics,1923,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1926,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1927,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1928,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1929,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1930,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1931,NO URIS FOUND FOR THIS DEGREE AND YEAR,Economics and Sociology,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,http://opaquenamespace.org/ns/osuAcademicUnits/KXpLYEer,
Economics,1932,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1933,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1934,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1940,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1992,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1993,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1994,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1995,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1996,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1997,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1998,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,1999,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2000,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2001,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2002,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2003,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2004,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2005,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2006,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2007,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2008,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2009,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2010,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2011,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2012,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2013,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,,,http://opaquenamespace.org/ns/osuAcademicUnits/2caXgOhh,
Economics,2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Education, ,MISSING GRADUATION YEAR,,,,
Education,1927,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1930,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1931,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1932,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1933,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1934,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1935,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1936,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1937,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1938,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1939,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1940,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1941,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1942,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1943,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1944,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1945,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1946,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1947,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1948,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1949,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1950,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1951,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1952,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1953,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1954,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1955,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1956,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1957,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1958,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1959,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1960,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1962,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1963,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1964,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1965,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1966,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1967,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1968,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1969,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,,,http://opaquenamespace.org/ns/osuAcademicUnits/ShgSE44g,
Education,1970,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1971,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1972,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1973,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1974,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1975,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1976,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1977,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1978,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1979,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1980,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1981,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1982,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1983,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1984,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1985,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1986,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1987,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1988,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1989,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1990,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1991,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
